Date,Time,Open,High,Low,Close,Volume,OI
2022-11-18,09:15:00,1.95,1.95,1.95,1.95,0,0
2022-11-21,09:15:00,1.95,1.95,1.95,1.95,0,0
2022-11-22,09:15:00,1.95,1.95,1.95,1.95,0,0
2022-11-23,09:15:00,1.95,1.95,1.95,1.95,0,0
2022-11-24,09:15:00,1.95,1.95,1.95,1.95,0,0
2022-11-25,09:15:00,1.95,1.95,1.95,1.95,0,0
2022-11-28,09:15:00,1.95,1.95,1.95,1.95,0,0
2022-11-29,09:15:00,1.95,1.95,1.95,1.95,0,0
2022-11-30,09:15:00,1.95,1.95,1.95,1.95,0,0
2022-12-01,09:15:00,1.95,1.95,1.95,1.95,0,0
2022-12-02,09:15:00,1.95,1.95,1.95,1.95,0,0
2022-12-05,09:15:00,1.95,1.95,1.95,1.95,0,0
2022-12-09,13:09:00,415.25,415.25,415.25,415.25,0,0
2022-12-09,13:12:00,415.25,415.25,415.25,415.25,0,0
2022-12-09,13:18:00,415.25,415.25,415.25,415.25,0,0
2022-12-09,13:21:00,415.25,415.25,415.25,415.25,0,0
2022-12-09,13:24:00,415.25,415.25,415.25,415.25,0,0
2022-12-09,13:33:00,415.25,415.25,415.25,415.25,0,0
2022-12-09,13:39:00,415.25,415.25,415.25,415.25,0,0
2022-12-09,13:48:00,415.25,415.25,415.25,415.25,0,0
2022-12-09,13:54:00,415.25,415.25,415.25,415.25,0,0
2022-12-09,14:00:00,415.25,415.25,415.25,415.25,0,0
2022-12-09,14:03:00,415.25,415.25,415.25,415.25,0,0
2022-12-09,14:09:00,415.25,415.25,415.25,415.25,0,0
2022-12-09,14:12:00,415.25,415.25,415.25,415.25,0,0
2022-12-09,14:21:00,415.25,415.25,415.25,415.25,0,0
2022-12-09,14:24:00,415.25,415.25,415.25,415.25,0,0
2022-12-09,14:27:00,415.25,415.25,415.25,415.25,0,0
2022-12-09,14:39:00,415.25,415.25,415.25,415.25,0,0
2022-12-09,14:42:00,415.25,415.25,415.25,415.25,0,0
2022-12-09,14:51:00,415.25,415.25,415.25,415.25,0,0
2022-12-09,14:54:00,415.25,415.25,415.25,415.25,0,0
2022-12-09,14:57:00,415.25,415.25,415.25,415.25,0,0
2022-12-09,15:00:00,415.25,415.25,415.25,415.25,0,0
2022-12-09,15:03:00,415.25,415.25,415.25,415.25,0,0
2022-12-09,15:06:00,415.25,415.25,415.25,415.25,0,0
2022-12-09,15:09:00,415.25,415.25,415.25,415.25,0,0
2022-12-09,15:12:00,415.25,415.25,415.25,415.25,0,0
2022-12-09,15:18:00,415.25,415.25,415.25,415.25,0,0
2022-12-09,15:24:00,415.25,415.25,415.25,415.25,0,0
2022-12-09,15:27:00,415.25,415.25,415.25,415.25,0,0
2022-12-30,09:48:00,345.05,345.05,345.05,345.05,0,50
2022-12-30,09:51:00,345.05,345.05,345.05,345.05,0,50
2022-12-30,09:54:00,345.05,345.05,345.05,345.05,0,50
2022-12-30,09:57:00,345.05,345.05,345.05,345.05,0,50
2022-12-30,10:00:00,345.05,345.05,345.05,345.05,0,50
2022-12-30,10:03:00,345.05,345.05,345.05,345.05,0,50
2022-12-30,10:06:00,345.05,356.7,345.05,356.7,50,100
2022-12-30,10:09:00,356.7,356.7,356.7,356.7,0,100
2022-12-30,10:12:00,356.7,356.7,356.7,356.7,0,100
2022-12-30,10:15:00,356.7,356.7,356.7,356.7,0,100
2022-12-30,10:18:00,356.7,356.7,356.7,356.7,0,100
2022-12-30,10:21:00,356.7,356.7,355.95,355.95,50,150
2022-12-30,10:24:00,355.95,355.95,355.95,355.95,0,150
2022-12-30,10:27:00,355.95,355.95,349.5,349.5,50,200
2022-12-30,10:30:00,349.5,349.5,349.5,349.5,0,200
2022-12-30,10:33:00,349.5,349.5,349.5,349.5,0,200
2022-12-30,10:36:00,349.5,349.5,349.5,349.5,0,200
2022-12-30,10:39:00,349.5,349.5,349.5,349.5,0,200
2022-12-30,10:42:00,349.5,349.5,349.5,349.5,0,200
2022-12-30,10:45:00,349.5,349.5,348.0,348.0,50,250
2022-12-30,10:48:00,348.0,348.0,348.0,348.0,0,250
2022-12-30,10:51:00,348.0,348.0,348.0,348.0,0,250
2022-12-30,10:54:00,348.0,348.0,348.0,348.0,0,250
2022-12-30,10:57:00,348.0,348.0,348.0,348.0,0,250
2022-12-30,11:00:00,348.0,348.0,348.0,348.0,0,250
2022-12-30,11:03:00,348.0,348.0,348.0,348.0,0,250
2022-12-30,11:06:00,348.0,348.0,348.0,348.0,0,250
2022-12-30,11:09:00,348.0,348.0,348.0,348.0,0,250
2022-12-30,11:12:00,348.0,348.0,348.0,348.0,0,250
2022-12-30,11:15:00,348.0,348.0,348.0,348.0,0,250
2022-12-30,11:18:00,348.0,348.0,348.0,348.0,0,250
2022-12-30,11:21:00,348.0,348.0,348.0,348.0,0,250
2022-12-30,11:24:00,348.0,348.0,348.0,348.0,0,250
2022-12-30,11:27:00,348.0,348.0,348.0,348.0,0,250
2022-12-30,11:30:00,348.0,348.0,348.0,348.0,0,250
2022-12-30,11:33:00,348.0,348.0,348.0,348.0,0,250
2022-12-30,11:36:00,348.0,348.0,348.0,348.0,0,250
2022-12-30,11:39:00,348.0,348.0,348.0,348.0,0,250
2022-12-30,11:42:00,348.0,348.0,348.0,348.0,0,250
2022-12-30,11:45:00,348.0,348.0,348.0,348.0,0,250
2022-12-30,11:48:00,348.0,348.0,348.0,348.0,0,250
2022-12-30,11:51:00,348.0,348.0,348.0,348.0,0,250
2022-12-30,11:54:00,348.0,348.0,348.0,348.0,0,250
2022-12-30,11:57:00,348.0,391.65,348.0,391.65,50,250
2022-12-30,12:00:00,391.65,391.65,391.65,391.65,0,250
2022-12-30,12:03:00,391.65,391.65,391.65,391.65,0,250
2022-12-30,12:06:00,391.65,391.65,391.65,391.65,0,250
2022-12-30,12:09:00,391.65,391.65,391.65,391.65,0,250
2022-12-30,12:12:00,391.65,391.65,391.65,391.65,0,250
2022-12-30,12:18:00,391.65,391.65,391.65,391.65,0,250
2022-12-30,12:21:00,391.65,391.65,391.65,391.65,0,250
2022-12-30,12:24:00,391.65,391.65,391.65,391.65,0,250
2022-12-30,12:27:00,391.65,391.65,391.65,391.65,0,250
2022-12-30,12:33:00,391.65,391.65,391.65,391.65,0,250
2022-12-30,12:36:00,391.65,391.65,391.65,391.65,0,250
2022-12-30,12:39:00,391.65,391.65,391.65,391.65,0,250
2022-12-30,12:42:00,391.65,391.65,391.65,391.65,0,250
2022-12-30,12:45:00,391.65,391.65,391.65,391.65,0,250
2022-12-30,12:51:00,391.65,391.65,391.65,391.65,0,250
2022-12-30,12:54:00,391.65,391.65,391.65,391.65,0,250
2022-12-30,12:57:00,391.65,391.65,391.65,391.65,0,250
2022-12-30,13:00:00,391.65,391.65,378.85,378.85,50,300
2022-12-30,13:03:00,378.85,378.85,378.85,378.85,0,300
2022-12-30,13:06:00,378.85,378.85,378.85,378.85,0,300
2022-12-30,13:09:00,378.85,378.85,378.85,378.85,0,300
2022-12-30,13:12:00,378.85,378.85,378.85,378.85,0,300
2022-12-30,13:15:00,378.85,394.4,378.85,394.4,50,350
2022-12-30,13:18:00,394.4,394.4,394.4,394.4,0,350
2022-12-30,13:21:00,394.4,394.4,394.4,394.4,0,350
2022-12-30,13:24:00,394.4,394.4,394.4,394.4,0,350
2022-12-30,13:27:00,394.4,394.4,394.4,394.4,0,350
2022-12-30,13:30:00,394.4,394.4,394.4,394.4,0,350
2022-12-30,13:33:00,394.4,394.4,394.4,394.4,0,350
2022-12-30,13:36:00,394.4,394.4,394.4,394.4,0,350
2022-12-30,13:39:00,394.4,394.4,394.4,394.4,0,350
2022-12-30,13:42:00,394.4,394.4,394.4,394.4,0,350
2022-12-30,13:45:00,394.4,394.4,394.4,394.4,0,350
2022-12-30,13:48:00,394.4,394.4,394.4,394.4,0,350
2022-12-30,13:51:00,394.4,410.1,394.4,410.1,50,300
2022-12-30,13:54:00,410.1,410.1,410.1,410.1,0,300
2022-12-30,13:57:00,410.1,410.1,410.1,410.1,0,300
2022-12-30,14:00:00,410.1,410.1,410.1,410.1,0,300
