Date,Time,Open,High,Low,Close,Volume,OI
2022-11-18,09:15:00,1.8,1.8,1.8,1.8,0,0
2022-11-21,09:15:00,1.8,1.8,1.8,1.8,0,0
2022-11-22,09:15:00,1.8,1.8,1.8,1.8,0,0
2022-11-23,09:15:00,1.8,1.8,1.8,1.8,0,0
2022-11-24,09:15:00,1.8,1.8,1.8,1.8,0,0
2022-11-25,09:15:00,1.8,1.8,1.8,1.8,0,0
2022-11-28,09:15:00,1.8,1.8,1.8,1.8,0,0
2022-11-29,09:15:00,1.8,1.8,1.8,1.8,0,0
2022-11-30,09:15:00,1.8,1.8,1.8,1.8,0,0
2022-12-01,09:15:00,1.8,1.8,1.8,1.8,0,0
2023-01-06,13:39:00,4.5,4.5,4.45,4.45,250,0
2023-01-06,13:42:00,4.45,4.45,4.45,4.45,200,550
2023-01-06,13:45:00,4.45,4.5,4.35,4.45,350,900
2023-01-06,13:48:00,4.45,4.45,4.45,4.45,0,900
2023-01-06,13:51:00,4.45,4.45,4.45,4.45,0,900
2023-01-06,13:54:00,4.45,4.45,4.45,4.45,0,900
2023-01-06,13:57:00,4.45,4.45,4.45,4.45,0,900
2023-01-06,14:00:00,4.45,4.45,4.45,4.45,0,900
2023-01-06,14:03:00,4.45,4.45,4.25,4.25,1050,1000
2023-01-06,14:06:00,4.25,4.25,4.25,4.25,0,1000
2023-01-06,14:09:00,4.25,4.25,4.25,4.25,0,1000
2023-01-06,14:12:00,4.25,4.25,4.25,4.25,0,1000
2023-01-06,14:15:00,4.25,4.25,4.1,4.1,50,1850
2023-01-06,14:18:00,4.1,4.1,4.1,4.1,0,1850
2023-01-06,14:21:00,4.1,4.1,4.1,4.1,0,1850
2023-01-06,14:24:00,4.1,4.1,4.1,4.1,0,1850
2023-01-06,14:27:00,4.1,4.1,4.1,4.1,0,1850
2023-01-06,14:30:00,4.1,4.3,4.1,4.3,50,1800
2023-01-06,14:33:00,4.3,4.3,4.3,4.3,0,1800
2023-01-06,14:36:00,4.3,4.3,4.3,4.3,0,1800
2023-01-06,14:39:00,4.3,4.3,4.2,4.25,100,1850
2023-01-06,14:42:00,4.25,4.25,4.2,4.2,50,1850
2023-01-06,14:45:00,4.2,4.2,4.2,4.2,0,1850
2023-01-06,14:48:00,4.2,4.35,4.2,4.35,100,1700
2023-01-06,14:51:00,4.35,4.35,4.35,4.35,0,1700
2023-01-06,14:54:00,4.35,4.35,4.35,4.35,50,1800
2023-01-06,14:57:00,4.35,4.35,4.35,4.35,0,1800
