Date,Time,Open,High,Low,Close,Volume,OI
2023-01-05,10:42:00,9.85,9.85,5.35,5.35,900,0
2023-01-05,10:45:00,5.35,5.35,5.2,5.2,500,800
2023-01-05,10:48:00,5.2,5.2,5.2,5.2,0,800
2023-01-05,10:51:00,5.2,5.2,5.2,5.2,0,800
2023-01-05,10:54:00,5.2,5.2,5.2,5.2,0,800
2023-01-05,10:57:00,5.2,5.2,5.2,5.2,0,800
2023-01-05,11:00:00,5.3,5.35,5.25,5.25,900,1300
2023-01-05,11:03:00,5.25,5.25,5.25,5.25,0,1300
2023-01-05,11:06:00,5.25,5.25,5.25,5.25,0,1300
2023-01-05,11:15:00,5.25,5.25,5.25,5.25,0,1300
2023-01-05,11:18:00,5.25,5.25,5.25,5.25,0,1300
2023-01-05,11:24:00,5.25,5.25,5.25,5.25,0,1300
2023-01-05,11:27:00,5.25,5.25,5.05,5.1,2050,2200
2023-01-05,11:30:00,4.85,4.95,4.85,4.95,250,4150
2023-01-05,11:33:00,4.95,4.95,4.95,4.95,600,4150
2023-01-05,11:36:00,4.95,4.95,4.95,4.95,0,4150
2023-01-05,11:39:00,4.95,5.15,4.9,5.15,100,4750
2023-01-05,11:42:00,5.15,5.15,5.15,5.15,0,4750
2023-01-05,11:45:00,5.15,5.15,5.15,5.15,0,4750
2023-01-05,11:48:00,5.15,5.15,5.15,5.15,0,4750
2023-01-05,11:51:00,5.15,5.15,5.15,5.15,0,4750
2023-01-05,11:54:00,5.15,5.15,5.15,5.15,100,4850
2023-01-05,11:57:00,5.15,5.15,5.15,5.15,0,4850
2023-01-05,12:00:00,5.15,5.15,5.15,5.15,0,4850
2023-01-05,12:03:00,5.15,5.15,5.15,5.15,0,4850
2023-01-05,12:06:00,5.15,5.15,5.15,5.15,0,4850
2023-01-05,12:09:00,5.15,5.15,5.15,5.15,0,4850
2023-01-05,12:12:00,5.15,5.15,5.15,5.15,0,4850
2023-01-05,12:15:00,5.15,5.15,5.15,5.15,0,4850
2023-01-05,12:18:00,5.15,5.15,5.15,5.15,0,4850
2023-01-05,12:21:00,5.15,5.45,5.15,5.45,50,4900
2023-01-05,12:24:00,5.45,5.45,5.45,5.45,0,4900
2023-01-05,12:27:00,5.45,5.45,5.45,5.45,0,4900
2023-01-05,12:30:00,5.45,5.45,5.45,5.45,0,4900
2023-01-05,12:33:00,5.45,6.0,5.45,5.95,1100,4900
2023-01-05,12:36:00,5.95,5.95,5.95,5.95,0,4900
2023-01-05,12:39:00,5.95,5.95,5.95,5.95,0,4900
2023-01-05,12:42:00,5.95,5.95,5.95,5.95,0,4900
2023-01-05,12:45:00,5.95,6.15,5.95,6.15,150,4150
2023-01-05,12:48:00,6.15,6.15,6.15,6.15,0,4150
2023-01-05,12:51:00,6.15,6.15,6.15,6.15,0,4150
2023-01-05,12:54:00,6.15,6.15,6.15,6.15,0,4150
2023-01-05,12:57:00,6.15,6.15,5.85,5.85,200,4300
2023-01-05,13:00:00,5.85,6.0,5.85,6.0,600,3800
2023-01-05,13:03:00,6.0,6.0,6.0,6.0,0,3800
2023-01-05,13:06:00,6.0,6.0,6.0,6.0,0,3800
2023-01-05,13:09:00,6.0,6.0,6.0,6.0,0,3800
2023-01-05,13:12:00,6.0,6.0,6.0,6.0,0,3800
2023-01-05,13:15:00,6.0,6.0,6.0,6.0,0,3800
2023-01-05,13:18:00,6.0,6.0,6.0,6.0,0,3800
2023-01-05,13:21:00,6.0,6.0,6.0,6.0,0,3800
2023-01-05,13:24:00,6.0,6.0,5.7,5.7,150,3700
2023-01-05,13:27:00,5.7,5.7,5.7,5.7,150,3700
2023-01-05,13:30:00,5.7,5.7,5.5,5.6,250,3900
2023-01-05,13:33:00,5.6,5.6,5.6,5.6,0,3900
2023-01-05,13:36:00,5.75,5.75,5.6,5.75,50,3900
2023-01-05,13:39:00,5.75,5.75,5.65,5.65,200,3900
2023-01-05,13:42:00,5.65,5.65,5.65,5.65,0,3900
2023-01-05,13:45:00,5.65,5.7,5.65,5.7,800,4000
2023-01-05,13:48:00,5.7,5.7,5.7,5.7,0,4000
2023-01-05,13:51:00,5.7,5.7,5.7,5.7,0,4000
2023-01-05,13:54:00,5.7,5.7,5.3,5.3,100,4550
2023-01-05,13:57:00,5.3,5.3,5.3,5.3,0,4550
2023-01-05,14:00:00,5.3,5.3,5.3,5.3,0,4550
2023-01-05,14:03:00,5.3,5.3,5.0,5.0,100,4600
2023-01-05,14:06:00,5.0,5.45,4.9,5.2,1800,5000
2023-01-05,14:09:00,5.2,5.2,4.9,4.9,350,5100
2023-01-05,14:12:00,4.9,4.9,4.9,4.9,0,5100
2023-01-05,14:15:00,4.9,4.9,4.9,4.9,0,5100
2023-01-05,14:18:00,4.9,4.9,4.8,4.8,150,5050
2023-01-05,14:21:00,4.8,4.8,4.8,4.8,150,5050
2023-01-05,14:24:00,4.8,4.8,4.8,4.8,100,5050
2023-01-05,14:27:00,4.5,4.95,4.5,4.95,1250,4250
2023-01-05,14:30:00,4.95,4.95,4.85,4.85,150,4350
2023-01-05,14:33:00,4.85,4.95,4.85,4.9,500,4350
2023-01-05,14:36:00,4.9,4.95,4.9,4.95,350,4200
2023-01-05,14:39:00,4.95,5.35,4.9,5.1,1500,3850
2023-01-05,14:42:00,5.1,5.4,5.0,5.0,500,3800
2023-01-05,14:45:00,5.0,5.15,5.0,5.15,200,3900
2023-01-05,14:48:00,5.15,5.15,5.1,5.1,100,3850
2023-01-05,14:51:00,5.1,5.1,4.95,4.95,100,3850
2023-01-05,14:54:00,4.95,5.1,4.95,5.05,600,4100
2023-01-05,14:57:00,5.05,5.15,5.05,5.15,200,4150
2023-01-05,15:00:00,5.15,5.15,5.0,5.0,500,4150
2023-01-05,15:03:00,5.0,5.15,4.9,4.95,350,4150
2023-01-05,15:06:00,4.95,4.95,4.6,4.6,900,4150
2023-01-05,15:09:00,4.6,4.9,4.6,4.9,650,3600
2023-01-05,15:12:00,4.9,4.9,4.7,4.8,1400,2850
2023-01-05,15:15:00,4.95,4.95,4.75,4.75,750,2900
2023-01-05,15:18:00,4.75,4.75,4.75,4.75,0,2900
2023-01-05,15:21:00,4.75,4.75,4.7,4.7,200,3000
2023-01-05,15:24:00,4.7,4.7,4.45,4.55,1050,3100
2023-01-05,15:27:00,4.55,4.75,4.55,4.75,100,4100
2023-01-06,09:15:00,4.75,4.75,4.75,4.75,0,4000
2023-01-06,09:18:00,4.75,4.75,4.75,4.75,0,4000
2023-01-06,09:21:00,4.75,4.75,3.65,3.65,250,4050
2023-01-06,09:24:00,3.65,3.9,3.65,3.8,1800,4300
2023-01-06,09:27:00,3.8,3.8,3.7,3.75,250,5150
2023-01-06,09:30:00,3.75,3.75,3.45,3.45,0,5350
2023-01-06,09:33:00,3.45,3.7,3.45,3.7,500,5400
2023-01-06,09:36:00,3.7,3.75,3.65,3.65,350,5850
2023-01-06,09:39:00,3.65,3.7,3.55,3.7,350,5850
2023-01-06,09:42:00,3.7,3.7,3.6,3.6,50,6200
2023-01-06,09:45:00,3.6,3.6,3.55,3.6,100,6450
2023-01-06,09:48:00,3.6,3.6,3.55,3.6,100,6450
2023-01-06,09:51:00,3.6,3.6,3.6,3.6,150,6550
2023-01-06,09:54:00,3.6,3.65,3.55,3.65,100,6600
2023-01-06,09:57:00,3.65,3.65,3.65,3.65,0,6600
2023-01-06,10:00:00,3.65,3.65,3.65,3.65,0,6600
2023-01-06,10:03:00,3.65,3.65,3.55,3.6,250,6600
2023-01-06,10:06:00,3.6,3.7,3.6,3.7,150,6600
2023-01-06,10:09:00,3.7,3.7,3.7,3.7,0,6600
2023-01-06,10:12:00,3.7,3.7,3.55,3.55,100,6600
2023-01-06,10:15:00,3.55,3.55,3.55,3.55,50,6600
