Date,Time,Open,High,Low,Close,Volume,OI
2022-12-23,14:39:00,115.0,115.0,115.0,115.0,0,0
2022-12-23,14:42:00,115.0,115.0,115.0,115.0,0,0
2022-12-23,14:45:00,115.0,115.0,114.95,114.95,100,100
2022-12-23,14:48:00,114.95,119.2,114.95,119.2,650,100
2022-12-23,14:51:00,119.2,119.2,119.2,119.2,0,100
2022-12-23,14:54:00,119.2,119.2,119.2,119.2,0,100
2022-12-23,14:57:00,119.2,119.2,118.1,118.1,650,750
2022-12-23,15:00:00,118.1,118.4,118.1,118.4,600,750
2022-12-23,15:03:00,118.4,118.4,118.4,118.4,0,750
2022-12-23,15:06:00,118.4,129.45,118.4,129.45,500,2000
2022-12-23,15:09:00,129.45,129.45,129.45,129.45,0,2000
2022-12-23,15:15:00,129.45,129.45,129.45,129.45,0,2000
2022-12-23,15:18:00,129.45,129.45,129.45,129.45,0,2000
2022-12-23,15:21:00,129.45,129.45,129.45,129.45,0,2000
2022-12-23,15:24:00,129.45,129.45,129.45,129.45,0,2000
2022-12-23,15:27:00,129.45,129.45,129.45,129.45,0,2000
2022-12-26,09:15:00,129.45,129.45,129.45,129.45,0,0
2022-12-26,09:18:00,129.45,129.45,129.45,129.45,0,2500
2022-12-26,09:21:00,129.45,129.45,129.45,129.45,0,2500
2022-12-26,09:24:00,129.45,129.45,129.45,129.45,0,2500
2022-12-26,09:27:00,129.45,129.45,129.45,129.45,0,2500
2022-12-26,09:30:00,129.45,129.45,129.45,129.45,0,2500
2022-12-26,09:33:00,129.45,129.45,129.45,129.45,0,2500
2022-12-26,09:36:00,129.45,129.45,129.45,129.45,0,2500
2022-12-26,09:39:00,129.45,129.45,129.45,129.45,0,2500
2022-12-26,09:42:00,129.45,129.45,129.45,129.45,0,2500
2022-12-26,09:45:00,129.45,129.45,107.3,107.3,50,2500
2022-12-26,09:48:00,107.3,107.3,107.3,107.3,0,2500
2022-12-26,09:51:00,107.3,107.3,107.3,107.3,0,2500
2022-12-26,09:54:00,107.3,107.3,107.3,107.3,0,2500
2022-12-26,09:57:00,107.3,107.3,107.3,107.3,0,2500
2022-12-26,10:00:00,107.3,107.3,107.3,107.3,0,2500
2022-12-26,10:03:00,107.3,107.3,107.3,107.3,0,2500
2022-12-26,10:06:00,107.3,107.3,107.3,107.3,0,2500
2022-12-26,10:09:00,107.3,107.3,107.3,107.3,0,2500
2022-12-26,10:12:00,107.3,107.3,107.3,107.3,0,2500
2022-12-26,10:15:00,107.3,107.3,107.3,107.3,0,2500
2022-12-26,10:18:00,107.3,107.3,107.3,107.3,0,2500
2022-12-26,10:21:00,107.3,107.3,107.3,107.3,0,2500
2022-12-26,10:24:00,107.3,107.3,107.3,107.3,0,2500
2022-12-26,10:27:00,107.3,107.3,107.3,107.3,0,2500
2022-12-26,10:30:00,107.3,107.3,107.3,107.3,0,2500
2022-12-26,10:33:00,107.3,107.3,107.3,107.3,0,2500
2022-12-26,10:36:00,107.3,107.3,107.3,107.3,0,2500
2022-12-26,10:39:00,107.3,107.3,107.3,107.3,0,2500
2022-12-26,10:42:00,107.3,107.3,107.3,107.3,0,2500
2022-12-26,10:45:00,107.3,107.3,107.3,107.3,0,2500
2022-12-26,10:48:00,107.3,107.3,107.3,107.3,0,2500
2022-12-26,10:51:00,107.3,107.3,107.3,107.3,0,2500
2022-12-26,10:54:00,107.3,107.3,107.3,107.3,0,2500
2022-12-26,10:57:00,107.3,107.3,107.3,107.3,0,2500
2022-12-26,11:00:00,107.3,107.3,107.3,107.3,0,2500
2022-12-26,11:03:00,107.3,107.3,107.3,107.3,0,2500
2022-12-26,11:06:00,107.3,107.3,107.3,107.3,0,2500
2022-12-26,11:09:00,107.3,107.3,107.3,107.3,0,2500
2022-12-26,11:12:00,107.3,107.3,107.3,107.3,0,2500
2022-12-26,11:15:00,107.3,107.3,107.3,107.3,0,2500
