Date,Time,Open,High,Low,Close,Volume,OI
2022-11-18,09:15:00,762.45,762.45,762.45,762.45,0,0
2022-11-21,09:15:00,762.45,762.45,762.45,762.45,0,0
2022-11-22,09:15:00,762.45,762.45,762.45,762.45,0,0
2022-11-23,09:15:00,762.45,762.45,762.45,762.45,0,0
2022-11-24,09:15:00,762.45,762.45,762.45,762.45,0,0
2022-11-25,09:15:00,762.45,762.45,762.45,762.45,0,0
2022-11-28,09:15:00,762.45,762.45,762.45,762.45,0,0
2022-11-29,09:15:00,762.45,762.45,762.45,762.45,0,0
2022-11-30,09:15:00,762.45,762.45,762.45,762.45,0,0
2022-12-01,09:15:00,762.45,762.45,762.45,762.45,0,0
2022-12-02,09:15:00,762.45,762.45,762.45,762.45,0,0
2022-12-05,09:15:00,762.45,762.45,762.45,762.45,0,0
2022-12-06,09:15:00,762.45,762.45,762.45,762.45,0,0
2022-12-07,09:15:00,762.45,762.45,762.45,762.45,0,0
2022-12-08,09:15:00,762.45,762.45,762.45,762.45,0,0
2022-12-09,09:15:00,762.45,762.45,762.45,762.45,0,0
2022-12-12,09:15:00,762.45,762.45,762.45,762.45,0,0
2022-12-13,09:15:00,762.45,762.45,762.45,762.45,0,0
2022-12-14,09:15:00,762.45,762.45,762.45,762.45,0,0
2022-12-15,09:15:00,762.45,762.45,762.45,762.45,0,0
2022-12-16,09:15:00,762.45,762.45,762.45,762.45,0,0
2022-12-19,09:15:00,762.45,762.45,762.45,762.45,0,0
2022-12-20,09:15:00,762.45,762.45,762.45,762.45,0,0
2022-12-21,09:15:00,762.45,762.45,762.45,762.45,0,0
2022-12-22,09:15:00,762.45,762.45,762.45,762.45,0,0
2023-01-05,12:51:00,539.0,539.0,539.0,539.0,0,0
2023-01-05,12:54:00,539.0,539.0,539.0,539.0,0,0
2023-01-05,12:57:00,539.0,539.0,539.0,539.0,0,0
2023-01-05,13:00:00,539.0,544.0,539.0,544.0,550,500
2023-01-05,13:03:00,544.0,544.0,544.0,544.0,0,500
2023-01-05,13:06:00,544.0,544.0,544.0,544.0,0,500
2023-01-05,13:09:00,544.0,544.0,544.0,544.0,0,500
2023-01-05,13:12:00,544.0,544.0,544.0,544.0,100,1000
2023-01-05,13:15:00,544.0,544.0,544.0,544.0,0,1000
2023-01-05,13:18:00,544.0,544.0,529.95,529.95,50,1100
2023-01-05,13:21:00,529.95,529.95,529.95,529.95,0,1100
2023-01-05,13:24:00,529.95,529.95,529.95,529.95,0,1100
2023-01-05,13:27:00,529.95,529.95,529.95,529.95,0,1100
2023-01-05,13:30:00,529.95,529.95,529.95,529.95,0,1100
2023-01-05,13:33:00,529.95,529.95,529.95,529.95,0,1100
2023-01-05,13:36:00,529.95,529.95,529.95,529.95,0,1100
2023-01-05,13:39:00,529.95,529.95,529.95,529.95,0,1100
2023-01-05,13:42:00,529.95,529.95,529.95,529.95,0,1100
2023-01-05,13:45:00,529.95,529.95,519.0,519.0,50,1100
2023-01-05,13:48:00,519.0,519.0,519.0,519.0,0,1100
2023-01-05,13:51:00,519.0,519.0,511.95,511.95,200,1150
2023-01-05,13:54:00,511.95,511.95,511.95,511.95,0,1150
2023-01-05,13:57:00,511.95,511.95,511.95,511.95,0,1150
2023-01-05,14:00:00,511.95,511.95,511.95,511.95,0,1150
2023-01-05,14:03:00,511.95,542.95,511.95,542.95,100,1350
2023-01-05,14:06:00,542.95,542.95,542.95,542.95,0,1350
2023-01-05,14:09:00,542.95,542.95,525.95,525.95,50,1400
2023-01-05,14:12:00,525.95,530.95,525.95,530.95,50,1400
2023-01-05,14:15:00,530.95,530.95,517.3,517.3,50,1450
2023-01-05,14:18:00,517.3,517.3,517.3,517.3,0,1450
2023-01-05,14:21:00,522.2,522.2,522.2,522.2,50,1450
2023-01-05,14:24:00,522.2,522.2,522.2,522.2,0,1450
2023-01-05,14:27:00,522.2,522.2,522.2,522.2,0,1450
2023-01-05,14:30:00,522.2,522.2,522.2,522.2,0,1450
2023-01-05,14:33:00,522.2,522.2,522.2,522.2,0,1450
2023-01-05,14:36:00,522.2,522.2,522.2,522.2,0,1450
2023-01-05,14:39:00,522.2,522.2,522.2,522.2,0,1450
2023-01-05,14:42:00,522.2,522.2,522.2,522.2,0,1450
2023-01-05,14:45:00,522.2,522.2,522.2,522.2,0,1450
2023-01-05,14:48:00,522.2,522.2,522.2,522.2,0,1450
2023-01-05,14:51:00,522.2,522.2,522.2,522.2,0,1450
2023-01-05,14:54:00,522.2,522.2,522.2,522.2,0,1450
2023-01-05,14:57:00,522.2,522.2,522.2,522.2,0,1450
2023-01-05,15:00:00,560.0,560.0,560.0,560.0,50,1450
2023-01-05,15:03:00,560.0,560.0,560.0,560.0,0,1450
2023-01-05,15:06:00,560.0,569.65,560.0,569.65,50,1500
2023-01-05,15:09:00,569.65,569.65,569.65,569.65,0,1500
2023-01-05,15:12:00,569.65,569.65,569.65,569.65,0,1500
2023-01-05,15:15:00,569.65,569.65,569.65,569.65,0,1500
2023-01-05,15:18:00,569.65,569.65,569.65,569.65,0,1500
2023-01-05,15:21:00,569.65,569.65,569.65,569.65,0,1500
2023-01-05,15:24:00,569.65,569.65,569.65,569.65,0,1500
2023-01-05,15:27:00,569.65,569.65,569.65,569.65,0,1500
2023-01-06,09:15:00,592.55,592.55,592.55,592.55,0,1550
2023-01-06,09:18:00,592.55,592.55,592.55,592.55,50,1650
2023-01-06,09:21:00,592.55,592.55,560.25,560.25,200,1650
2023-01-06,09:24:00,560.25,592.2,560.25,592.2,100,1700
2023-01-06,09:27:00,592.2,592.2,592.2,592.2,0,1700
2023-01-06,09:30:00,592.2,592.2,592.2,592.2,0,1700
2023-01-06,09:33:00,592.2,592.85,592.2,592.85,50,1650
2023-01-06,09:36:00,592.85,629.15,592.85,629.15,50,1700
2023-01-06,09:39:00,629.15,629.15,629.15,629.15,0,1700
